2021-09-17 02:34:17,807 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2,3', did='d1', grain_alpha='5', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170234')
2021-09-17 02:34:17,826 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:34:18,866 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:34:20,032 - INFO - load: budget=2; scheme=(0.30000000000000004,0.18000000000000005); tilderR=(54) tilderS=(3); result=((125, 46), 1333); rev=159.96
2021-09-17 02:34:20,032 - INFO - load: budget=2; scheme=(0.30000000000000004,0.24000000000000005); tilderR=(54) tilderS=(5); result=((46, 149), 1343); rev=80.58
2021-09-17 02:34:20,033 - INFO - load: budget=2; scheme=(0.30000000000000004,0.30000000000000004); tilderR=(54) tilderS=(8); result=((46, 49), 1403); rev=0.0
2021-09-17 02:34:20,033 - INFO - load: budget=2; scheme=(0.4,0.0); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,033 - INFO - load: budget=2; scheme=(0.4,0.08000000000000002); tilderR=(49) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,034 - INFO - load: budget=2; scheme=(0.4,0.16000000000000003); tilderR=(49) tilderS=(2); result=({168, 125}, 898); rev=215.51999999999998
2021-09-17 02:34:20,034 - INFO - load: budget=2; scheme=(0.4,0.24000000000000005); tilderR=(49) tilderS=(5); result=((46, 149), 1151); rev=184.15999999999997
2021-09-17 02:34:20,035 - INFO - load: budget=2; scheme=(0.4,0.32000000000000006); tilderR=(49) tilderS=(10); result=((46, 49), 1202); rev=96.15999999999995
2021-09-17 02:34:20,035 - INFO - load: budget=2; scheme=(0.4,0.4); tilderR=(49) tilderS=(19); result=((1, 150), 1420); rev=0.0
2021-09-17 02:34:20,035 - INFO - load: budget=2; scheme=(0.5,0.0); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,036 - INFO - load: budget=2; scheme=(0.5,0.1); tilderR=(35) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:34:20,036 - INFO - load: budget=2; scheme=(0.5,0.2); tilderR=(35) tilderS=(3); result=((125, 46), 678); rev=203.4
2021-09-17 02:34:20,037 - INFO - load: budget=2; scheme=(0.5,0.30000000000000004); tilderR=(35) tilderS=(8); result=((46, 49), 753); rev=150.59999999999997
2021-09-17 02:34:20,038 - INFO - load: budget=2; scheme=(0.5,0.4); tilderR=(35) tilderS=(19); result=((1, 150), 901); rev=90.09999999999998
2021-09-17 02:34:20,038 - INFO - load: budget=2; scheme=(0.5,0.5); tilderR=(35) tilderS=(38); result=((1, 150), 901); rev=0.0
2021-09-17 02:34:20,039 - INFO - load: budget=2; scheme=(0.6000000000000001,0.0); tilderR=(21) tilderS=(0); result=(set(), 0); rev=0.0
