2021-09-18 03:10:37,750 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='1,2', did='d2', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09180310')
2021-09-18 03:10:37,947 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=306, len_R=306 
                             percent_S=0.25, num_S=306, len_S=306
2021-09-18 03:10:39,149 - INFO - Finish generate valuations and costs using using a=2
2021-09-18 03:10:46,184 - INFO - compute: budget=1; scheme=(0.5,0.30000000000000004); tilderR=(109) tilderS=(30); result=((301,), 12310); rev=2461.9999999999995
2021-09-18 03:10:46,854 - INFO - compute: budget=1; scheme=(0.5,0.35000000000000003); tilderR=(109) tilderS=(43); result=((301,), 12310); rev=1846.4999999999995
2021-09-18 03:10:47,785 - INFO - compute: budget=1; scheme=(0.5,0.4); tilderR=(109) tilderS=(60); result=((301,), 12310); rev=1230.9999999999998
2021-09-18 03:10:49,070 - INFO - compute: budget=1; scheme=(0.5,0.45); tilderR=(109) tilderS=(82); result=((301,), 12310); rev=615.4999999999999
2021-09-18 03:10:50,668 - INFO - compute: budget=1; scheme=(0.5,0.5); tilderR=(109) tilderS=(104); result=((301,), 12310); rev=0.0
2021-09-18 03:10:50,671 - INFO - load: budget=1; scheme=(0.6000000000000001,0.0); tilderR=(58) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:50,698 - INFO - compute: budget=1; scheme=(0.6000000000000001,0.06000000000000001); tilderR=(58) tilderS=(2); result=((301,), 3508); rev=1894.3200000000002
2021-09-18 03:10:50,701 - INFO - load: budget=1; scheme=(0.6000000000000001,0.12000000000000002); tilderR=(58) tilderS=(3); result=((301,), 3508); rev=1683.8400000000004
2021-09-18 03:10:50,785 - INFO - compute: budget=1; scheme=(0.6000000000000001,0.18000000000000005); tilderR=(58) tilderS=(8); result=((63,), 3986); rev=1674.1200000000001
2021-09-18 03:10:50,787 - INFO - load: budget=1; scheme=(0.6000000000000001,0.24000000000000005); tilderR=(58) tilderS=(13); result=((63,), 3986); rev=1434.9600000000003
2021-09-18 03:10:51,060 - INFO - compute: budget=1; scheme=(0.6000000000000001,0.30000000000000004); tilderR=(58) tilderS=(30); result=((104,), 5064); rev=1519.2000000000003
2021-09-18 03:10:51,070 - INFO - load: budget=1; scheme=(0.6000000000000001,0.3600000000000001); tilderR=(58) tilderS=(45); result=((104,), 5064); rev=1215.36
2021-09-18 03:10:51,664 - INFO - compute: budget=1; scheme=(0.6000000000000001,0.4200000000000001); tilderR=(58) tilderS=(70); result=((104,), 5064); rev=911.52
2021-09-18 03:10:51,666 - INFO - load: budget=1; scheme=(0.6000000000000001,0.4800000000000001); tilderR=(58) tilderS=(94); result=((104,), 5064); rev=607.68
2021-09-18 03:10:52,663 - INFO - compute: budget=1; scheme=(0.6000000000000001,0.5400000000000001); tilderR=(58) tilderS=(119); result=((104,), 5064); rev=303.8399999999997
2021-09-18 03:10:52,666 - INFO - load: budget=1; scheme=(0.6000000000000001,0.6000000000000001); tilderR=(58) tilderS=(150); result=((104,), 5064); rev=0.0
2021-09-18 03:10:52,678 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.0); tilderR=(29) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:52,699 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.07); tilderR=(29) tilderS=(2); result=((301,), 652); rev=410.76000000000005
2021-09-18 03:10:52,740 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.14); tilderR=(29) tilderS=(6); result=((301,), 652); rev=365.12000000000006
2021-09-18 03:10:52,797 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.21000000000000005); tilderR=(29) tilderS=(10); result=((63,), 2012); rev=985.88
2021-09-18 03:10:52,916 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.28); tilderR=(29) tilderS=(25); result=((63,), 2012); rev=845.0400000000001
2021-09-18 03:10:53,112 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.35000000000000003); tilderR=(29) tilderS=(43); result=((104,), 2540); rev=889.0000000000001
2021-09-18 03:10:53,423 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.4200000000000001); tilderR=(29) tilderS=(70); result=((104,), 2540); rev=711.1999999999999
2021-09-18 03:10:53,856 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.4900000000000001); tilderR=(29) tilderS=(100); result=((104,), 2540); rev=533.3999999999999
2021-09-18 03:10:54,408 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.56); tilderR=(29) tilderS=(128); result=((104,), 2540); rev=355.6
2021-09-18 03:10:55,205 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.6300000000000001); tilderR=(29) tilderS=(179); result=((104,), 2540); rev=177.79999999999987
2021-09-18 03:10:56,302 - INFO - compute: budget=1; scheme=(0.7000000000000001,0.7000000000000001); tilderR=(29) tilderS=(226); result=((104,), 2540); rev=0.0
2021-09-18 03:10:56,305 - INFO - load: budget=1; scheme=(0.8,0.0); tilderR=(13) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-18 03:10:56,320 - INFO - compute: budget=1; scheme=(0.8,0.08000000000000002); tilderR=(13) tilderS=(2); result=((739,), 29); rev=20.88
2021-09-18 03:10:56,323 - INFO - load: budget=1; scheme=(0.8,0.16000000000000003); tilderR=(13) tilderS=(8); result=((63,), 768); rev=491.52
2021-09-18 03:10:56,370 - INFO - compute: budget=1; scheme=(0.8,0.24000000000000005); tilderR=(13) tilderS=(13); result=((63,), 768); rev=430.08000000000004
2021-09-18 03:10:56,374 - INFO - load: budget=1; scheme=(0.8,0.32000000000000006); tilderR=(13) tilderS=(32); result=((104,), 1043); rev=500.64
2021-09-18 03:10:56,518 - INFO - compute: budget=1; scheme=(0.8,0.4); tilderR=(13) tilderS=(60); result=((104,), 1043); rev=417.20000000000005
2021-09-18 03:10:56,521 - INFO - load: budget=1; scheme=(0.8,0.4800000000000001); tilderR=(13) tilderS=(94); result=((104,), 1043); rev=333.75999999999993
2021-09-18 03:10:56,801 - INFO - compute: budget=1; scheme=(0.8,0.56); tilderR=(13) tilderS=(128); result=((104,), 1043); rev=250.32
