2021-09-25 16:16:15,809 - INFO - run algo
2021-09-25 16:16:15,820 - INFO - 217
2021-09-25 16:16:15,821 - INFO - 217
2021-09-25 16:16:15,826 - INFO - load:
2021-09-25 16:16:15,826 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-25 16:16:16,388 - INFO - Finish generate valuations and costs using using gamma=2.0
2021-09-25 16:16:16,797 - INFO - compute | 3 | (0.2,0.12000000000000002) | 55 | 1 | {168} | 631| 50.47999999999999 | 305.5412213039487 
2021-09-25 16:16:16,803 - INFO - compute | 3 | (0.2,0.16000000000000003) | 55 | 2 | {168, 125} | 1093| 43.71999999999998 | 541.5358126721763 
2021-09-25 16:16:16,812 - INFO - compute | 3 | (0.2,0.2) | 55 | 3 | {168, 125, 46} | 1770| 0.0 | 891.3700918273645 
2021-09-25 16:16:16,814 - INFO - compute | 3 | (0.4,0.0) | 49 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,815 - INFO - load | 3 | (0.4,0.08000000000000002) | 49 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:16,820 - INFO - compute | 3 | (0.4,0.16000000000000003) | 49 | 2 | {168, 125} | 898| 215.51999999999998 | 470.65639118457307 
2021-09-25 16:16:16,859 - INFO - compute | 3 | (0.4,0.24000000000000005) | 49 | 5 | (168, 46, 149) | 1514| 242.23999999999995 | 807.5999816345268 
2021-09-25 16:16:17,254 - INFO - compute | 3 | (0.4,0.32000000000000006) | 49 | 10 | (46, 49, 149) | 1697| 135.75999999999993 | 921.4388888888888 
2021-09-25 16:16:20,378 - INFO - compute | 3 | (0.4,0.4) | 49 | 19 | (1, 149, 150) | 1945| 0.0 | 1070.601395775941 
2021-09-25 16:16:20,379 - INFO - compute | 3 | (0.6000000000000001,0.0) | 21 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:20,381 - INFO - compute | 3 | (0.6000000000000001,0.12000000000000002) | 21 | 1 | {168} | 101| 48.48000000000001 | 64.6018365472911 
2021-09-25 16:16:20,398 - INFO - compute | 3 | (0.6000000000000001,0.24000000000000005) | 21 | 5 | (46, 149, 125) | 431| 155.16000000000003 | 283.4419283746556 
2021-09-25 16:16:20,916 - INFO - compute | 3 | (0.6000000000000001,0.3600000000000001) | 21 | 14 | (1, 46, 49) | 544| 130.56 | 368.86704315886135 
2021-09-25 16:16:27,990 - INFO - compute | 3 | (0.6000000000000001,0.4800000000000001) | 21 | 32 | (1, 150, 49) | 655| 78.6 | 444.8439944903582 
2021-09-25 16:16:49,489 - INFO - compute | 3 | (0.6000000000000001,0.6000000000000001) | 21 | 46 | (1, 150, 205) | 658| 0.0 | 448.32768595041324 
2021-09-25 16:16:49,490 - INFO - compute | 3 | (0.8,0.0) | 3 | 0 | set() | 0| 0.0 | 0.0 
2021-09-25 16:16:49,491 - INFO - compute | 3 | (0.8,0.16000000000000003) | 3 | 2 | {168, 125} | 12| 7.68 | 9.86457300275482 
2021-09-25 16:16:49,520 - INFO - compute | 3 | (0.8,0.32000000000000006) | 3 | 10 | (46, 47, 149) | 43| 20.64 | 35.87555555555555 
2021-09-25 16:16:50,549 - INFO - compute | 3 | (0.8,0.4800000000000001) | 3 | 32 | (17, 150, 65) | 67| 21.439999999999998 | 55.670449954086315 
2021-09-25 16:16:54,133 - INFO - compute | 3 | (0.8,0.6400000000000001) | 3 | 48 | (150, 65, 109) | 74| 11.839999999999995 | 61.678089990817256 
2021-09-25 16:16:59,097 - INFO - compute | 3 | (0.8,0.8) | 3 | 54 | (150, 65, 109) | 74| 0.0 | 61.678089990817256 
2021-09-25 16:16:59,098 - INFO - compute | 3 | (1.0,0.0) | 0 | 0 | set() | 0| 0.0 | 0 
2021-09-25 16:16:59,099 - INFO - compute | 3 | (1.0,0.2) | 0 | 3 | {168, 125, 46} | 0| 0.0 | 0 
2021-09-25 16:16:59,101 - INFO - compute | 3 | (1.0,0.4) | 0 | 19 | (169, 156, 125) | 0| 0.0 | 0 
2021-09-25 16:16:59,122 - INFO - compute | 3 | (1.0,0.6000000000000001) | 0 | 46 | (214, 122, 125) | 0| 0.0 | 0 
2021-09-25 16:16:59,154 - INFO - compute | 3 | (1.0,0.8) | 0 | 54 | (214, 122, 125) | 0| 0.0 | 0 
2021-09-25 16:16:59,155 - INFO - load | 3 | (1.0,1.0) | 0 | 54 | (214, 122, 125) | 0| 0.0 | 0 
