2021-09-17 02:37:34,256 - INFO - Namespace(a='2', beta_paras='3,6,6,3', budget_list='4', did='d1', grain_alpha='10', grain_p='10', method='brute', percent_R='0.25', percent_S='0.25', seed='32', version='v09170237')
2021-09-17 02:37:34,272 - INFO - Finish random requester set R and supplier set S 
                             percent_R=0.25, num_R=55, len_R=55 
                             percent_S=0.25, num_S=55, len_S=54
2021-09-17 02:37:35,293 - INFO - Finish generate valuations and costs using using a=2
2021-09-17 02:42:35,303 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.0); tilderR=(21) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:42:35,305 - INFO - load: budget=4; scheme=(0.6000000000000001,0.06000000000000001); tilderR=(21) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:42:35,307 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.12000000000000002); tilderR=(21) tilderS=(1); result=({168}, 101); rev=48.48000000000001
2021-09-17 02:42:35,310 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.18000000000000005); tilderR=(21) tilderS=(3); result=({168, 125, 46}, 384); rev=161.28000000000003
2021-09-17 02:42:35,322 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.24000000000000005); tilderR=(21) tilderS=(5); result=((46, 149, 23, 125), 523); rev=188.28000000000003
2021-09-17 02:42:35,451 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.30000000000000004); tilderR=(21) tilderS=(8); result=((46, 47, 49, 149), 603); rev=180.90000000000003
2021-09-17 02:42:37,499 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.3600000000000001); tilderR=(21) tilderS=(14); result=((1, 46, 49, 149), 683); rev=163.92
2021-09-17 02:42:56,122 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.4200000000000001); tilderR=(21) tilderS=(24); result=((1, 150, 49, 65), 810); rev=145.79999999999998
2021-09-17 02:43:59,141 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.4800000000000001); tilderR=(21) tilderS=(32); result=((1, 150, 49, 65), 810); rev=97.2
2021-09-17 02:46:07,375 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.5400000000000001); tilderR=(21) tilderS=(38); result=((1, 150, 49, 205), 815); rev=48.899999999999956
2021-09-17 02:50:47,501 - INFO - compute: budget=4; scheme=(0.6000000000000001,0.6000000000000001); tilderR=(21) tilderS=(46); result=((1, 150, 49, 205), 815); rev=0.0
2021-09-17 02:50:47,503 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.0); tilderR=(8) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:50:47,505 - INFO - load: budget=4; scheme=(0.7000000000000001,0.07); tilderR=(8) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:50:47,507 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.14); tilderR=(8) tilderS=(2); result=({168, 125}, 31); rev=17.360000000000003
2021-09-17 02:50:47,510 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.21000000000000005); tilderR=(8) tilderS=(3); result=({168, 125, 46}, 76); rev=37.24
2021-09-17 02:50:47,523 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.28); tilderR=(8) tilderS=(6); result=((46, 49, 23, 125), 145); rev=60.900000000000006
2021-09-17 02:50:48,228 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.35000000000000003); tilderR=(8) tilderS=(14); result=((1, 132, 46, 49), 210); rev=73.5
2021-09-17 02:50:55,412 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.4200000000000001); tilderR=(8) tilderS=(24); result=((1, 150, 156, 49), 249); rev=69.72
2021-09-17 02:51:33,576 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.4900000000000001); tilderR=(8) tilderS=(36); result=((1, 150, 49, 205), 272); rev=57.11999999999999
2021-09-17 02:52:29,808 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.56); tilderR=(8) tilderS=(39); result=((1, 150, 49, 205), 272); rev=38.080000000000005
2021-09-17 02:54:41,761 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.6300000000000001); tilderR=(8) tilderS=(48); result=((1, 150, 49, 205), 272); rev=19.039999999999985
2021-09-17 02:57:59,111 - INFO - compute: budget=4; scheme=(0.7000000000000001,0.7000000000000001); tilderR=(8) tilderS=(53); result=((1, 150, 49, 205), 272); rev=0.0
2021-09-17 02:57:59,113 - INFO - compute: budget=4; scheme=(0.8,0.0); tilderR=(3) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:57:59,115 - INFO - load: budget=4; scheme=(0.8,0.08000000000000002); tilderR=(3) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 02:57:59,118 - INFO - compute: budget=4; scheme=(0.8,0.16000000000000003); tilderR=(3) tilderS=(2); result=({168, 125}, 12); rev=7.68
2021-09-17 02:57:59,122 - INFO - compute: budget=4; scheme=(0.8,0.24000000000000005); tilderR=(3) tilderS=(5); result=((46, 149, 23, 125), 43); rev=24.080000000000002
2021-09-17 02:57:59,181 - INFO - compute: budget=4; scheme=(0.8,0.32000000000000006); tilderR=(3) tilderS=(10); result=((46, 47, 149, 125), 52); rev=24.96
2021-09-17 02:58:00,179 - INFO - compute: budget=4; scheme=(0.8,0.4); tilderR=(3) tilderS=(19); result=((1, 65, 47, 150), 80); rev=32.0
2021-09-17 02:58:09,098 - INFO - compute: budget=4; scheme=(0.8,0.4800000000000001); tilderR=(3) tilderS=(32); result=((17, 150, 156, 47), 83); rev=26.559999999999995
2021-09-17 02:58:30,542 - INFO - compute: budget=4; scheme=(0.8,0.56); tilderR=(3) tilderS=(39); result=((17, 150, 65, 205), 89); rev=21.36
2021-09-17 02:59:19,452 - INFO - compute: budget=4; scheme=(0.8,0.6400000000000001); tilderR=(3) tilderS=(48); result=((150, 33, 65, 109), 91); rev=14.559999999999993
2021-09-17 03:00:29,657 - INFO - compute: budget=4; scheme=(0.8,0.7200000000000001); tilderR=(3) tilderS=(53); result=((150, 33, 65, 109), 91); rev=7.279999999999997
2021-09-17 07:52:49,801 - INFO - compute: budget=4; scheme=(0.8,0.8); tilderR=(3) tilderS=(54); result=((150, 33, 65, 109), 91); rev=0.0
2021-09-17 07:52:49,828 - INFO - compute: budget=4; scheme=(0.9,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 07:52:49,837 - INFO - load: budget=4; scheme=(0.9,0.09000000000000001); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 07:52:49,846 - INFO - compute: budget=4; scheme=(0.9,0.18000000000000002); tilderR=(0) tilderS=(3); result=({168, 125, 46}, 0); rev=0.0
2021-09-17 07:52:49,865 - INFO - compute: budget=4; scheme=(0.9,0.2700000000000001); tilderR=(0) tilderS=(6); result=((168, 149, 23, 125), 0); rev=0.0
2021-09-17 07:52:49,879 - INFO - compute: budget=4; scheme=(0.9,0.36000000000000004); tilderR=(0) tilderS=(14); result=((169, 149, 125, 62), 0); rev=0.0
2021-09-17 07:52:49,975 - INFO - compute: budget=4; scheme=(0.9,0.45); tilderR=(0) tilderS=(27); result=((189, 66, 214, 125), 0); rev=0.0
2021-09-17 07:52:50,331 - INFO - compute: budget=4; scheme=(0.9,0.5400000000000001); tilderR=(0) tilderS=(38); result=((213, 214, 92, 125), 0); rev=0.0
2021-09-17 07:54:05,280 - INFO - compute: budget=4; scheme=(0.9,0.6300000000000001); tilderR=(0) tilderS=(48); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-17 07:54:05,802 - INFO - compute: budget=4; scheme=(0.9,0.7200000000000001); tilderR=(0) tilderS=(53); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-17 07:54:06,296 - INFO - compute: budget=4; scheme=(0.9,0.81); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-17 07:54:06,298 - INFO - load: budget=4; scheme=(0.9,0.9); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-17 07:54:06,300 - INFO - load: budget=4; scheme=(1.0,0.0); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 07:54:06,304 - INFO - load: budget=4; scheme=(1.0,0.1); tilderR=(0) tilderS=(0); result=(set(), 0); rev=0.0
2021-09-17 07:54:06,306 - INFO - load: budget=4; scheme=(1.0,0.2); tilderR=(0) tilderS=(3); result=({168, 125, 46}, 0); rev=0.0
2021-09-17 07:54:06,309 - INFO - compute: budget=4; scheme=(1.0,0.30000000000000004); tilderR=(0) tilderS=(8); result=((168, 149, 23, 61), 0); rev=0.0
2021-09-17 07:54:06,318 - INFO - compute: budget=4; scheme=(1.0,0.4); tilderR=(0) tilderS=(19); result=((169, 156, 125, 62), 0); rev=0.0
2021-09-17 07:54:06,320 - INFO - load: budget=4; scheme=(1.0,0.5); tilderR=(0) tilderS=(38); result=((213, 214, 92, 125), 0); rev=0.0
2021-09-17 07:54:06,541 - INFO - compute: budget=4; scheme=(1.0,0.6000000000000001); tilderR=(0) tilderS=(46); result=((214, 102, 122, 125), 0); rev=0.0
2021-09-17 07:54:35,693 - INFO - load: budget=4; scheme=(1.0,0.7000000000000001); tilderR=(0) tilderS=(53); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-17 07:54:35,702 - INFO - load: budget=4; scheme=(1.0,0.8); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-17 07:54:35,712 - INFO - load: budget=4; scheme=(1.0,0.9); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
2021-09-17 07:54:35,722 - INFO - load: budget=4; scheme=(1.0,1.0); tilderR=(0) tilderS=(54); result=((214, 109, 122, 125), 0); rev=0.0
