did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(1.0, 0.5)	(71,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(72,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(73,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(77,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(206,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(80,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(86,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(92,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(99,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(111,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 0.5)	(125,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(1,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(131,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(135,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(10,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(141,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(13,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(14,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(143,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(145,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(19,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(148,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(20,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(22,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(152,)	0	0	0.0	0.0
d1	2.0	A	brute	1	(1.0, 1.0)	(24,)	0	0	0.0	0.0
