did	lamb	obj	method	budget	scheme	setM_star	I	W	RI	RW
d1	1.0	W	h2	3	(0.35, 0.3)	{143, 53, 183}	1930	1320.28	96.5	279.42
d1	1.0	W	h2	3	(0.35, 0.35)	{143, 53, 183}	1930	1320.28	0.0	213.4
d1	1.0	W	h2	3	(0.35, 0.4)	{143, 53, 183}	1930	1320.28	-96.5	147.39
d1	1.0	W	h2	3	(0.35, 0.45)	{143, 53, 183}	1930	1320.28	-193.0	81.37
d1	1.0	W	h2	3	(0.35, 0.5)	{143, 53, 183}	1930	1320.28	-289.5	15.36
d1	1.0	W	h2	3	(0.35, 0.55)	{143, 53, 183}	1930	1320.28	-386.0	-50.66
d1	1.0	W	h2	3	(0.35, 0.6)	{143, 53, 183}	1930	1320.28	-482.5	-116.67
d1	1.0	W	h2	3	(0.35, 0.65)	{143, 53, 183}	1930	1320.28	-579.0	-182.68
d1	1.0	W	h2	3	(0.35, 0.7)	{143, 53, 183}	1930	1320.28	-675.5	-248.7
d1	1.0	W	h2	3	(0.35, 0.75)	{143, 53, 183}	1930	1320.28	-772.0	-314.71
d1	1.0	W	h2	3	(0.35, 0.8)	{143, 53, 183}	1930	1320.28	-868.5	-380.73
d1	1.0	W	h2	3	(0.35, 0.85)	{143, 53, 183}	1930	1320.28	-965.0	-446.74
d1	1.0	W	h2	3	(0.35, 0.9)	{143, 53, 183}	1930	1320.28	-1061.5	-512.75
d1	1.0	W	h2	3	(0.35, 0.95)	{143, 53, 183}	1930	1320.28	-1158.0	-578.77
d1	1.0	W	h2	3	(0.35, 1.0)	{143, 53, 183}	1930	1320.28	-1254.5	-644.78
d1	1.0	W	h2	3	(0.4, 0.0)	{53}	821	562.28	328.4	328.4
d1	1.0	W	h2	3	(0.4, 0.05)	{53}	821	562.28	287.35	300.29
d1	1.0	W	h2	3	(0.4, 0.1)	{72, 53, 125}	1858	1272.29	557.4	615.97
d1	1.0	W	h2	3	(0.4, 0.15)	{143, 53, 183}	1930	1320.28	482.5	573.96
d1	1.0	W	h2	3	(0.4, 0.2)	{143, 53, 183}	1930	1320.28	386.0	507.94
d1	1.0	W	h2	3	(0.4, 0.25)	{143, 53, 183}	1930	1320.28	289.5	441.93
d1	1.0	W	h2	3	(0.4, 0.3)	{143, 53, 183}	1930	1320.28	193.0	375.92
d1	1.0	W	h2	3	(0.4, 0.35)	{143, 53, 183}	1930	1320.28	96.5	309.9
d1	1.0	W	h2	3	(0.4, 0.4)	{143, 53, 183}	1930	1320.28	0.0	243.89
d1	1.0	W	h2	3	(0.4, 0.45)	{143, 53, 183}	1930	1320.28	-96.5	177.87
d1	1.0	W	h2	3	(0.4, 0.5)	{143, 53, 183}	1930	1320.28	-193.0	111.86
d1	1.0	W	h2	3	(0.4, 0.55)	{143, 53, 183}	1930	1320.28	-289.5	45.84
d1	1.0	W	h2	3	(0.4, 0.6)	{143, 53, 183}	1930	1320.28	-386.0	-20.17
d1	1.0	W	h2	3	(0.4, 0.65)	{143, 53, 183}	1930	1320.28	-482.5	-86.18
d1	1.0	W	h2	3	(0.4, 0.7)	{143, 53, 183}	1930	1320.28	-579.0	-152.2
d1	1.0	W	h2	3	(0.4, 0.75)	{143, 53, 183}	1930	1320.28	-675.5	-218.21
d1	1.0	W	h2	3	(0.4, 0.8)	{143, 53, 183}	1930	1320.28	-772.0	-284.23
d1	1.0	W	h2	3	(0.4, 0.85)	{143, 53, 183}	1930	1320.28	-868.5	-350.24
d1	1.0	W	h2	3	(0.4, 0.9)	{143, 53, 183}	1930	1320.28	-965.0	-416.25
d1	1.0	W	h2	3	(0.4, 0.95)	{143, 53, 183}	1930	1320.28	-1061.5	-482.27
