did	lamb	obj	method	budget	scheme	setM	I	W	RI	RW
d1	2.0	A	brute	1	(0.0, 0.65)	(99,)	697	357.1945730027548	-453.05	-232.17647245179063
d1	2.0	A	brute	1	(0.0, 0.65)	(101,)	406	212.29462809917362	-263.90000000000003	-137.99150826446285
d1	2.0	A	brute	1	(0.0, 0.65)	(108,)	377	198.25619834710741	-245.05	-128.86652892561983
d1	2.0	A	brute	1	(0.0, 0.65)	(111,)	625	317.8767125803489	-406.25	-206.6198631772268
d1	2.0	A	brute	1	(0.0, 0.65)	(125,)	732	347.4939761248851	-475.8	-225.8710844811753
d1	2.0	A	brute	1	(0.0, 0.7)	(1,)	775	391.4112947658402	-542.5	-273.9879063360881
d1	2.0	A	brute	1	(0.0, 0.7)	(131,)	200	103.18980716253442	-140.0	-72.23286501377409
d1	2.0	A	brute	1	(0.0, 0.7)	(135,)	156	81.75622589531679	-109.19999999999999	-57.22935812672175
d1	2.0	A	brute	1	(0.0, 0.7)	(10,)	295	148.16879706152432	-206.5	-103.71815794306701
d1	2.0	A	brute	1	(0.0, 0.7)	(141,)	398	192.37786042240594	-278.59999999999997	-134.66450229568414
d1	2.0	A	brute	1	(0.0, 0.7)	(13,)	618	314.84135904499544	-432.59999999999997	-220.3889513314968
d1	2.0	A	brute	1	(0.0, 0.7)	(14,)	368	190.32941230486685	-257.59999999999997	-133.23058861340678
d1	2.0	A	brute	1	(0.0, 0.7)	(143,)	959	452.702865013774	-671.3	-316.89200550964176
d1	2.0	A	brute	1	(0.0, 0.7)	(145,)	272	124.85845730027548	-190.39999999999998	-87.40092011019283
d1	2.0	A	brute	1	(0.0, 0.7)	(19,)	424	215.73048668503213	-296.79999999999995	-151.01134067952248
d1	2.0	A	brute	1	(0.0, 0.7)	(148,)	437	205.83861340679522	-305.9	-144.08702938475665
d1	2.0	A	brute	1	(0.0, 0.7)	(20,)	330	162.35244260789722	-230.99999999999997	-113.64670982552805
d1	2.0	A	brute	1	(0.0, 0.7)	(22,)	506	262.1384022038568	-354.2	-183.49688154269975
d1	2.0	A	brute	1	(0.0, 0.7)	(152,)	309	159.29961432506883	-216.29999999999998	-111.50973002754817
d1	2.0	A	brute	1	(0.0, 0.7)	(24,)	189	101.12149678604224	-132.29999999999998	-70.78504775022957
d1	2.0	A	brute	1	(0.0, 0.7)	(27,)	610	328.2696877869605	-427.0	-229.78878145087234
d1	2.0	A	brute	1	(0.0, 0.7)	(29,)	124	60.7334251606979	-86.8	-42.513397612488525
